movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
1566,Dream Big: Engineering Our World,2018,,100%,66%,42 minutes,Documentary,NR,,,,
1567,Madeline's Madeline,2019,,87%,46%,90 minutes,Drama,NR,,Josephine Decker,"Helena Howard, Okwui Okpokwasili, Julee Cerda, Miranda July, Molly Parker",Josephine Decker
1568,Sweaty Betty,2016,,88%,43%,94 minutes,"Drama, Musical & Performing Arts",NR,,Zachary Reed,"Seth Dubois, Floyd Rich, Rico S.","Seth Dubois, Zachary Reed, Floyd Rich, Joseph Frank"
1569,Your Name. (Kimi No Na Wa.),2017,,97%,94%,106 minutes,"Animation, Drama, Romance",PG,,Makoto Shinkai,"Ryûnosuke Kamiki, Michael Sinterniklaas, Mone Kamishiraishi, Stephanie Sheh, Masami Nagasawa, Laura Post, Kanon Tani, Catie Harvey, Etsuko Ichihara, Glyins Ellis",Makoto Shinkai
1570,Age Of Kill,2017,,0%,28%,82 minutes,Action & Adventure,NR,,Neil Jones,"April Pearson, Dexter Fletcher, Philip Davis, Nick Moran, Patrick Bergin, Anouska Mond, Lucy Pinder, Bruce Payne, Martin Kemp, Donna Air, Terri Dwyer",Simon Cluett
1571,Collide,2017,,21%,35%,99 minutes,"Action & Adventure, Mystery & Suspense",PG-13,,Eran Creevy,"Nicholas Hoult, Anthony Hopkins, Ben Kingsley, Felicity Jones, Marwan Kenzari, Nadia Hilker, Clemans Schick, Christian Rubeck, Aleksandar Jovanovic, Johnny Palmiero, Erdal Yildiz, Ben Hecker, Joachim Król, Markus Klauk, Michael Epp, Christina Hecke, Lara Melina Siebertz","F. Scott Frazier, Eran Creevy"
1572,A Poem Is A Naked Person,2016,,86%,55%,90 minutes,Documentary,NR,,Les Blank,"Maureen Gosling, Willie Nelson, Harrod Blank, George Jones, Jim Franklin",Les Blank
1573,Cymbeline,2015,,31%,14%,98 minutes,Action & Adventure,R,,Michael Almereyda,"Ethan Hawke, Ed Harris, Milla Jovovich, Dakota Johnson, Anton Yelchin, Penn Badgley, John Leguizamo, Vondie Curtis-Hall, Delroy Lindo, Bill Pullman, Kevin Corrigan, Peter Gerety, James Ransone, Spencer Treat Clark, Penn Bagdley",Michael Almereyda
1574,2:22,2017,,22%,36%,99 minutes,"Drama, Mystery & Suspense",PG-13,,Paul Currie,"Michiel Huisman, Teresa Palmer, Sam Reid, Maeve Dermody, Remy Hii, Kerry Armstrong, Carma Sharon, John Waters, Katie McConnell, Marisa Lamonica, Zara Michales, Jessica Clarke, Richard Davies, Angie Tricker, Mitchell Butel, Dean Kyrwood, Amanda Azarian, Morrison James, Gordon Waddell, Nora Sommerkamp, Michael-Anthony Taylor, Sidney Beitz, George Papura, Melissa Joyce, Nancy Denis, Duncan Ragg","Todd Stein, Nathan Parker"
1575,The Beat Beneath My Feet,2016,,50%,48%,92 minutes,"Comedy, Drama, Kids & Family, Musical & Performing Arts",NR,,John Williams,"Luke Perry, Nicholas Galitzine, Lisa Dillon, Verity Pinter, James Tarpey, Ian Virgo, Elisabeth Hopper, Christian O'Connell, Michael Müller, Simon Lowe, Dhani Mattioni-Sharma, Eleanor Herdman, Ewen Macintosh, Fiona Gillies, Michael Mueller, Charlotte Palmer, Sarah Flind, Hannah Watkins, Alice Hickey, Benjamin Colbourne, Andreas Lim, Jeremy Hill, Louis Mueller, Walker Hill, Jude Ryan-Gray, Luke Gordon, Jazz Blaack, Sapphire Cartledge, Mark Fenton, Caitlin Brewer, Simon Allen, Tudor Smith, Henna Lone, Jonell Rowe, Sue Bardwell, Jacky Perry, Evelien Kortum, Carol S. Austin, Karen Davey, Len Waterman, Paul Vernon, Saudiq Booky, Brigitta Makk, Sheree Wallace, Jackie Bridford, David Peters, David Hyndman, Amy Frost, Nathan Benson, Derek Allassni, Philip Senior, Steve Cowles, Gavin Smith","Michael Müller, Michael Muller"
1576,This Beautiful Fantastic,2017,,64%,74%,92 minutes,"Comedy, Drama, Science Fiction & Fantasy",PG,,Simon Aboud,"Tom Wilkinson, Andrew Scott, Jeremy Irvine, Jessica Brown Findlay, Anna Chancellor, Charlotte Asprey",Simon Aboud
