movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
2165,To All the Boys I've Loved Before,2018,,97%,87%,120 minutes,"Drama, Romance",NR,,Susan Johnson,"Lana Condor, Janel Parrish, Noah Centineo, Anna Cathcart, Israel Broussard, John Corbett",Sofia Alvarez
2166,The World Before Your Feet,2019,,100%,75%,95 minutes,Documentary,NR,,Jeremy Workman,,
2167,Insidious: Chapter 3,2015,,59%,51%,97 minutes,Horror,PG-13,,Leigh Whannell,"Dermot Mulroney, Stefanie Scott, Angus Sampson, Leigh Whannell, Lin Shaye, Tate Berney, Michael Reid Mackay, Steve Coulter, Hayley Kiyoko, Corbett Tuck",Leigh Whannell
2168,Happy Valley,2015,,89%,70%,100 minutes,"Documentary, Drama",NR,,Amir Bar-Lev,"Matt Sandusky, Jay Paterno, Scott Paterno, Lou Prato, Andrew Shubin, Matt Jordan Smith, Joe Posnanski, Michael Pilato",
2169,Capture the Flag,2016,,48%,40%,97 minutes,"Action & Adventure, Animation, Art House & International, Comedy",NR,,Enrique Gato,"Dani Rovira, Michelle Jenner, Carme Calvell, Javier Balas, Camilo García",
2170,The Incredible Journey,2015,,88%,77%,80 minutes,"Action & Adventure, Classics, Kids & Family",G,,Fletcher Markle,"Émile Genest, John Drainie, Tommy Tweed, Sandra Scott, Marion Finlayson, Ronald Cohoon, Robert Christie, Beth Lockerbie, Jan Rubes, Irena Mayeska, Beth Amos, Eric Clavering, Rex Allen, Muffy Mead Thomas, Rink, Syn Cat","Sheila Burnford, James Algar"
2171,Mateo,2015,,57%,50%,88 minutes,"Action & Adventure, Documentary, Drama, Musical & Performing Arts",NR,,Aaron I. Naar,"Matthew Stoneman, Xiomara Savón Espichicofue, Richard Stoneman, Jorge Luis Valdés Chicoy, Yamila Mendez Savon, Yanaisys Zamora Chavez, Miroy Matos Pineda, Rolando Baró, Ana Maria Vila Afantinez, Emilio al Monto Valdés, Omar Gonzalez Sanchez, Osvaldo Padrón González, Yasmel Giley Pérez, Flora Villarreal Montes, Enrique Barque Jaronn, Raul Arroyo Alcantara, Yoneysis Frontela Moregón, José Jargon Blando, Mercedes Inortela Morezón, Farima Blanco Ramos, Eric Abdel Méndez Savón",
2172,What Our Fathers Did: A Nazi Legacy,2016,,89%,73%,92 minutes,Documentary,NR,,David Evans,"Niklas Frank, Philippe Sands, Horst von Wächter",Philippe Sands
2173,Ghost in the Shell,2017,,43%,51%,106 minutes,"Action & Adventure, Drama, Science Fiction & Fantasy",PG-13,,Rupert Sanders,"Scarlett Johansson, Michael Pitt, Christopher Obi, Josep Naufahu, Pilou Asbæk, Philippe Joly, Takeshi Kitano","Jonathan Herman, Jamie Moss"
2174,Bone Tomahawk,2015,,91%,73%,133 minutes,"Action & Adventure, Horror, Western",NR,,S. Craig Zahler,"Kurt Russell, Lili Simmons, Matthew Fox, Patrick Wilson, David Arquette, Richard Jenkins, Evan Jonigkeit, Fred Melamed, Sid Haig, Maestro Harrell, Sean Young, Michael Paré, Kathryn Morris, James Tolkan, Zahn McClarnon, Michael Emery, Jeremy Tardy, Jamison Newlander, Erick Chavarria, Omar Leyva, David Midthunder, Raw Leiba, Geno Segers, Alex Meraz, Robert Mukes, Brandon Molale, Eddie Spears, Jay Tavare, Anthony ""Graywolf"" Herrara, Benjamin ""Blake"" Woodruff, Mario Perez, Susie Castaneda, Marem Hassler",S. Craig Zahler
2175,Levitated Mass: The Story of Michael Heizer's Monolithic Sculpture,2014,,100%,74%,89 minutes,"Documentary, Special Interest",NR,,Doug Pray,"Michael Govan, John Bowsher, Ron Elad, Chrissie Iles",
2176,White Rabbit,2015,,21%,60%,90 minutes,"Drama, Mystery & Suspense",NR,,Tim McCann,"Sam Trammell, Nick Krause, Britt Robertson",Anthony Di Pietro
2177,The Foreigner,2018,,64%,72%,,"Action & Adventure, Drama, Mystery & Suspense",R,,Martin Campbell,"Jackie Chan, Pierce Brosnan, Ray Fearon, Rory Fleck-Byrne, Stephen Hogan, Michael McElhatton, Katie Leung, Dermot Crowley, Simon Kunz, Rufus Jones",David Marconi
2178,Buddymoon,2016,,75%,56%,80 minutes,Comedy,NR,,Alex Simmons,"David Giuntoli, Flula Borg, Jeanne Syquia, Claire Coffee, Brian T. Finney, Hutch Harris","Flula Borg, David Giuntoli, Alex Simmons"
2179,I Am Big Bird: The Caroll Spinney Story,2015,,84%,79%,90 minutes,"Documentary, Special Interest",NR,,"Chad N. Walker, Dave LaMattina","Frank Oz, Jim Henson, Matt Vogel, Kevin Clash, Dave Goelz, Sonia Manzano, Roscoe Orman, Eric Jacobson, Alison Bartlett O'Reilly, Stephanie D'Abruzzo, Emilio Delgado",Dave LaMattina
2180,Five Star,2015,,75%,51%,83 minutes,Drama,NR,,Keith Miller,"James ""Primo"" Grant, John Diaz, Jasmin Burgos, Tamara Robinson, Wanda Nobles Colon, Larry Bogad, Tony Yayo, Richard Bird, Jaiden Kaine, Donell 'Blizz' Brant, Ryan 'Burberry Biggs' Gooding, Louis Reyes, Daniel Willis, Vaughn Bowman, Kasey Anasazi, Leon 'Tank' Hearde Jr., Benjamin Belotte, John Bonaparte Jr., Nevaeh Grant, Sincere Grant, Elijah Dixon, E'niyah Dixon, Karim Allen, John Reese, Lisette Finevelvet Rivera",Keith Miller
2181,Midnighters,2018,,86%,34%,94 minutes,"Drama, Mystery & Suspense",NR,,Julius Ramsay,"Alex Essoe, Dylan McTee, Perla Haney-Jardine, Ward Horton, Joseph Anderson, Andrew Rothenberg, K.C. Faldasz, David Spadora, Matt Myers, George Barber, Jessica Noboa",Alston Ramsay
2182,Experimenter,2016,,85%,61%,90 minutes,Drama,PG-13,,Michael Almereyda,"Peter Sarsgaard, Winona Ryder, Anton Yelchin, Kellan Lutz, Taryn Manning, John Leguizamo, Anthony Edwards, Jim Gaffigan, Dennis Haysbert, Lori Singer, Josh Hamilton, Vondie Curtis-Hall, Emily Tremaine, Donnie Keshawarz, Edoardo Ballerini, Danny A. Abeckaser, Ned Eisenberg, Tom Bateman, Karl Geary, Paul Lazar, Michael Siberry, Gameela Wright, Frank Harts, Betty Gabriel, John Palladino, Pascal Yen-Pfister, Emily Nicole Hansen, Jicky Schnee, Katie Kreisler, Lucy Fava, Adriana Randall, Emily Vere Nicoll, Devin Henry, Peter Iasillo Jr., Mark Elliot Wilson, Tom Farrell, Accalia Quintana, Harley Ware, Gary Shteyngart, Richard R. Corapi, Frank Ferruccio, Craig DeLorenzo, Kate Kitchin, Shiori Ichikawa, Charlie Jones, Maury Silver, Diego Cortez, Abe Altman, Max Maxy, Chris Nester, Tom Roma, Harold Takooshian, Thomas Ahlers, Jude Patrick White, Sean Brody, Nikki Cassen",Michael Almereyda
2183,The Incomparable Rose Hartman,2017,,75%,,71 minutes,Documentary,NR,,Øtis Mass,,
2184,"One Cut, One Life",2015,,100%,36%,107 minutes,Documentary,NR,,"Ed Pincus, Lucia Small","Ed Pincus, Lucia Small",
2185,Fresh Dressed,2015,,90%,56%,90 minutes,Drama,NR,,Sacha Jenkins,,
2186,My Winnipeg,2015,,94%,77%,80 minutes,"Documentary, Special Interest",NR,,Guy Maddin,"Darcy Fehr, Darcey Fehr, Amy Stewart, Ann Savage, Louis Negin, Brendan Cade, Wesley Cade, Kate Yacula, Jacelyn Lobay, Eric Nipp, Jennifer Palichuk, Guy Maddin","Guy Maddin, George Toles"
2187,Diary Of A Wimpy Kid: The Long Haul,2017,,19%,34%,,"Comedy, Kids & Family",PG,,David Bowers,"Jason Drucker, Owen Asztalos, Tom Everett Scott, Alicia Silverstone, Chris Coppola",Adam Sztykiel
2188,Malevolent,2018,,38%,18%,88 minutes,Horror,NR,,Olaf de Fleur Johannesson,"Florence Pugh, Celia Imrie, Ben Lloyd-Hughes","Ben Ketai, Eva Konstantopoulos"
2189,Saint Laurent,2015,,60%,40%,135 minutes,"Art House & International, Drama, Special Interest",R,,Bertrand Bonello,"Gaspard Ulliel, Jérémie Renier, Louis Garrel, Léa Seydoux, Amira Casar, Valeria Bruni Tedeschi, Helmut Berger, Valérie Donzelli, Aymeline Valade, Micha Lescot, Jasmine Trinca, Dominique Sanda, Vittoria Scognamiglio, Brady Corbet, Bertrand Bonello","Bertrand Bonello, Thomas Bidegain"
2190,Sandy Wexler,2017,,27%,40%,,Comedy,NR,,Steven Brill,"Adam Sandler, Jennifer Hudson, Kevin James, Terry Crews, Lamorne Morris, Nick Swardson, Rob Schneider, Aaron Neville, Arsenio Hall, Colin Quinn","Paul Sado, Dan Bulla, Adam Sandler"
2191,The Sense Of An Ending,2017,,76%,52%,,Drama,PG-13,,Ritesh Batra,"Jim Broadbent, Harriet Walter, Michelle Dockery, Emily Mortimer, Billy Howle, Joe Alwyn, Freya Mavor, Charlotte Rampling, Matthew Goode",Nick Payne
2192,The Dark Tower,2017,,16%,45%,,"Horror, Science Fiction & Fantasy, Western",PG-13,,Nikolaj Arcel,"Idris Elba, Matthew McConaughey, Abbey Lee, Tom Taylor","Nikolaj Arcel, Akiva Goldsman, Anders Thomas Jensen, Jeff Pinkner"
2193,The Last Sharknado: It's About Time,2018,,27%,41%,120 minutes,"Action & Adventure, Comedy, Horror, Television",NR,,Anthony C. Ferrante,"Tara Reid, Ian Ziering, Vivica A. Fox, Billy the Kid, Cassandra Scerbo, Charles Hittinger",Scotty Mullen
2194,The Female Brain,2018,,37%,55%,98 minutes,Comedy,NR,,Whitney Cummings,"Whitney Cummings, Alysia Reiner, Cecily Strong, Chris D'Elia, Sofía Vergara, Beanie Feldstein, Toby Kebbell, Angel Parker, Xosha Roquemore, Deon Cole, Gwen Hollander, Phil Hendrie, Adam Shapiro, Rebeka Montoya, Adam Korson, Andrew Schulz, Vinoj Zacharia, Blake Griffin, Jack Merrill, Lisa Linke, Jaylin Fletcher","Whitney Cummings, Neal Brennan"
2195,Honeymoon,2015,,73%,44%,87 minutes,Drama,R,,Leigh Janiak,"Rose Leslie, Harry Treadaway, Ben Huber, Hanna Brown, Josh Mulvaney, Keith Wolfrey, Peter Leo, Henry Lawrence, Bob Harrison, John Lauterbach","Phil Graziadei, Leigh Janiak"
2196,Puppet Master: The Littlest Reich,2018,,67%,54%,84 minutes,Horror,NR,,"Sonny Laguna, Tommy Wiklund","Thomas Lennon, Udo Kier, Michael Paré, Nelson Franklin, Jenny Pellicer, Charlyne Yi, Barbara Crampton",S. Craig Zahler
2197,Future World,2018,,0%,12%,90 minutes,"Mystery & Suspense, Science Fiction & Fantasy",R,,"James Franco, Bruce Thierry Cheung","James Franco, Suki Waterhouse, Jeffrey Wahlberg, Margarita Levieva, Snoop Dogg, Milla Jovovich, Lucy Liu, Method Man, Twin Shadow, George Lewis Jr.","Bruce Thierry Cheung, Jeremy Cheung, Jay Davis"
2198,Private Peaceful,2015,,65%,57%,100 minutes,"Art House & International, Drama",NR,,Pat O'Connor,"Jack O'Connell, George MacKay, Alexandra Roach, Richard Griffiths, Frances De La Tour, John Lynch, Hero Fiennes Tiffin, Maxine Peake, David Frost","Michaël Morpurgo, Simon Reade"
2199,Voice from the Stone,2017,,36%,34%,94 minutes,"Drama, Mystery & Suspense",R,,Eric D. Howell,"Emilia Clarke, Marton Csokas, Caterina Murino, Remo Girone, Kate Linder",Andrew Shaw
2200,High Strung,2016,,75%,65%,97 minutes,"Drama, Musical & Performing Arts, Romance",PG,,Michael Damian,"Keenan Kampa, Nicholas Galitzine, Jane Seymour, Paul Freeman, Richard Southgate, Sonoya Mizuno, Maia Morgenstern, David Lipper, Ian Eastwood, Anabel Kutay, Dave Scott, Marcus Emanuel Mitchell, Comfort Fedoke, Simon A. Mendoza, Miranda Wilson, Andrew Pleavin, Tomi May, Nigel Barber, Giulia Nahmany, LoDeon, Ivan ""Flipz"" Velez, Jimmy Townsend, Jim Townsend, Dragos Savulescu, Claudiu Trandafir, Danielle Elise Fischer, Olivier Raynal, Toto Dumitrescu, James Longshore, Cristina Gazner, Cliff Michel","Janeen Damian, Michael Damian"
2201,Gold Star,2017,,86%,67%,90 minutes,Drama,NR,,Victoria Negri,"Robert Vaughn, Catherine Curtin, Jacob Heimer, Victoria Negri, Anna Garduno, Max Rhyser, Roberta Raffone Niwore, Rebecca Fong, Katie Maguire (II), Clifton Dunn, Michael Jefferson, Effie Fradelakis, Jonathan Ercolino, Zach Griffin, Alex O'Neill, Miguel Fernandes",Victoria Negri
2202,Maria By Callas,2019,,91%,73%,95 minutes,Documentary,PG,,Tom Volf,Joyce DiDonato,Tom Volf
2203,Barry,2016,,80%,54%,104 minutes,Drama,NR,,Vikram Gandhi,"Devon Terrell, Anya Taylor-Joy, Ashley Judd, Jenna Elfman, Ellar Coltrane, Linus Roache, Avi Nash",Adam Mansbach
2204,Closet Monster,2017,,78%,72%,90 minutes,Drama,NR,,Stephen Dunn,"Connor Jessup, Aaron Abrams, Aliocha Schneider, Isabella Rossellini, Joanne Kelly, Jack Fulton, Sofia Banzhaf, Jinji Dawson, Mary Walsh, Meghan Cullen, Marthe Bernard, James Hawksley, Brad Nippard, Paula Morgan, Megan Kennedy, Jonathan Watton, Sean Panting, Megan Rose Jones, Tim Myles, Wangeci Warui, Emma McIsaac, Teigan Follett, Ross Moore, Kimberley Drake, Renee Dumaresque, Leah McPherson, Chunk, Mama, Blood Thirsty",Stephen Dunn
2205,A Bad Moms Christmas,2018,,30%,44%,,Comedy,R,,Jon Lucas,"Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley, David Walton, Christine Baranski, Susan Sarandon",Jon Lucas
2206,The Killing of a Sacred Deer,2018,,80%,64%,119 minutes,Drama,R,,Yorgos Lanthimos,"Nicole Kidman, Colin Farrell, Barry Keoghan, Alicia Silverstone, Raffey Cassidy, Bill Camp, Denise Dal Vera, Sunny Suljic","Yorgos Lanthimos, Efthimis Filippou"
2207,God Knows Where I Am,2018,,84%,89%,102 minutes,Documentary,NR,,"Jedd Wider, Todd Wider","Lori Singer, Linda Bishop, Paul Appelbaum, Doug Bixby, Kevin Carbone, Wayne DiGeronimo, James E. Duggan, Jennie Duval, Lora Goss, Judith E. Kolada, Caitlin Murtagh, Matthew Nelson, Stephanie Savard, Thomas Scarlato, Brian Smith, Kathy White",
2208,The Two of Us (Le vieil homme et l'enfant),2018,,100%,93%,95 minutes,"Art House & International, Comedy, Drama",R,,Claude Berri,"Michel Simon, Alain Cohen, Luce Fabiole, Zorica Lozic, Roger Carel, Paul Préboist, Charles Denner, Aline Bertrand, Sylvine Delannoy, Jacqueline Rouillard, Marco Perrin, Elisabeth Rey, Denise Péronne, Didier Perret, Denise Péron","Claude Berri, Gérard Brach, Michel Rivelin"
2209,The Hollow Point,2017,,31%,32%,97 minutes,Drama,R,,Gonzalo López-Gallego,"Patrick Wilson, Ian McShane, John Leguizamo, Jim Belushi, Lynn Collins, Heather Beers, Michael Flynn, Nathan Stevens, Dave Bresnahan, David H. Stevens, David Fernandez Jr., Karli Hall, Deborah Lee Douglas, Derek Boone, Carl Hadra, Marlon V. Gaines, Derrick Dean, Corey Sondrup, Victor Soto, Gilda Cersosimo McBride, Mike Brown, Jim Swift",Nils Lyew
2210,Blood Ransom,2017,,20%,80%,102 minutes,"Mystery & Suspense, Science Fiction & Fantasy, Romance",NR,,"Francis Dela Torre, Francis de la Torre","Alexander Dreymon, Clayton Rohner, Clifton Powell, Emily Skinner, Natalina Maggio, Anne Curtis, Caleb Hunt",Francis Dela Torre
2211,Fury,2015,,77%,84%,135 minutes,"Action & Adventure, Drama",R,,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña, Jon Bernthal, Jason Isaacs, Scott Eastwood, Jim Parrack, Brad William Henke, Kevin Vance, Xavier Samuel, Anamaria Marinca, Alicia von Rittberg, Laurence Spellman, Daniel Betts, Adam Ganne, Eric Kofi Abrefa, Osi Okerafor, John Macmillan, Saul Barrett, Marek Oravec, Kyle Soller, Jake Curran, Jack Bannon, Branko Tomovic, Orion Lee, Vivien Bridson, Christian Contreras, Stella Stocker, Jacob Vonhendial, Lukas Rolfe, Leon Rolfe, Harry Hancock, Daniel Dorr, Bernhard Forcher, Edin Gali, Jaime FitzSimons, Christopher Wright, Charlie Rotheram, Nick Beattie, The Jimmy Carroll Orchestra, Dale 'Chip' Rosenbloom, Dickon Leigh-Wood, Dickon Leigh, Hugh Vere Nicoll, Xander Rawlins",David Ayer
2212,Zoolander 2,2016,,22%,20%,102 minutes,Comedy,PG-13,,Ben Stiller,"Ben Stiller, Owen Wilson, Will Ferrell, Penelope Cruz, Benedict Cumberbatch, Kristen Wiig, Christine Taylor, Olivia Munn, Justin Bieber, Kyle Mooney, Justin Theroux, Macaulay Culkin, Billy Zane, Ariana Grande, Demi Lovato, Madalina Ghenea, Fred Armisen, Lenny Kravitz, Aly Mang, Sparrowhawk, Cyrus Arnold, Nathan Lee Graham, Doris McCarthy, Marko Caka, Antonio Te Maioho, Mika, Jamie Soricelli, Beck Bennett, Lewis Hamilton, Alan Cappelli Goetz, Eugenia Tempesta, Hal Yamanouchi, Elettra Capuano, Martin Saints, Kelly Aaron, Christopher Cagle, Romuald Andrzej Klos, Caroline Valencia, Justin McGriff, Clinton Clark, Gabriele DeLuca, Alexis Hall, Orfeo Orlando, Carlijn DeJong, Kevin Meyer, Ray Hounsell, Dorry Marie, Vanessa Scull, Antony Hagopian","Justin Theroux, Ben Stiller, Nicholas Stoller, John Hamburg"
2213,Black Butterfly,2017,,42%,40%,93 minutes,"Drama, Mystery & Suspense",R,,Brian Goodman,"Antonio Banderas, Jonathan Rhys Meyers, Piper Perabo, Abel Ferrara, Nathalie Rapti Gomez, Katie McGovern, Nicholas Aaron, Vincent Riotta, Cristina Moglia, Cherish Gaines","Marc Frydman, Justin Stanley"
2214,Dunkirk,2017,,92%,81%,107 minutes,"Action & Adventure, Drama",PG-13,,Christopher Nolan,"Fionn Whitehead, Tom Glynn-Carney, Jack Lowden, Harry Styles, Aneurin Barnard, James D'Arcy, Barry Keoghan, Kenneth Branagh, Cillian Murphy, Mark Rylance, Tom Hardy",Christopher Nolan
2215,Ray Harryhausen: Special Effects Titan,2016,,92%,70%,97 minutes,"Art House & International, Documentary, Special Interest, Television",NR,,Gilles Penso,"Ray Harryhausen, James Cameron, Terry Gilliam, Peter Jackson, Tim Burton, Guillermo del Toro, Steven Spielberg, John Landis, John Lasseter, Nick Park, Joe Dante, Henry Selick, Vincenzo Natali",Gilles Penso
2216,Invisible Essence: The Little Prince,2018,,100%,,91 minutes,Documentary,NR,,Charles Officer,"Rupi Kaur, Adam Gopnik, Olivier d'Agay, François d'Agay, Stacy Schiff, Éric Emmanuel Schmitt",Charles Officer
2217,Terms And Conditions May Apply,2015,,83%,72%,79 minutes,"Comedy, Documentary, Special Interest",PG,,Cullen Hoback,"Margaret Atwood, Danah Boyd, Orson Scott Card, Raymond Kurzweil, Ray Kurzweil, Douglas Rushkoff, Moby, Eli Pariser, Sherry Turkle, Mark Zuckerberg",Cullen Hoback
2218,Paper Towns,2015,,56%,47%,109 minutes,Drama,PG-13,,Jake Schreier,"Nat Wolff, Cara Delevingne, Halston Sage, Austin Abrams, Justice Smith, Cara Buono, Caitlin Carver, Griffin Freeman, Jaz Sinclair, Meg Crosbie, Mehmet Korhan, RJ Shearer, Stephen Mackenzie Brown, Cameron Mills, Josiah Cerio, Robert Crayton, Susan Macke Miller, Graham Hunt, Jim R. Coleman, Drew Matthews, Tom Hillmann, Jay Duplass, Ansel Elgort","Scott Neustadter, Michael H. Weber"
2219,An Ordinary Man,2018,,38%,41%,90 minutes,"Drama, Mystery & Suspense",R,,Brad Silberling,"Ben Kingsley, Hera Hilmar, Peter Serafinowicz, Robert Blythe, Bojan Bajcetic",Brad Silberling
2220,A Gray State,2017,,100%,57%,93 minutes,Documentary,NR,,Erik Nelson,David Crowley,
2221,White Bird in a Blizzard,2015,,53%,43%,91 minutes,"Comedy, Drama, Mystery & Suspense",R,,Gregg Araki,"Shailene Woodley, Christopher Meloni, Eva Green, Thomas Jane, Gabourey Sidibe, Sheryl Lee, Angela Bassett, Dale Dickey, Mark Indelicato, Shiloh Fernandez, Jacob Artist, Jill Johnson, Brenda Koo, Michael McGill",Gregg Araki
2222,Peppermint,2018,,12%,73%,102 minutes,"Action & Adventure, Mystery & Suspense",R,,Pierre Morel,"Jennifer Garner, John Gallagher Jr., John Ortiz, Method Man, Richard Cabral, Cabral Richards, Michael Mosley, Cailey Fleming, Ian Casselberry, Michael Reventar, Kyla-Drew Simmons, Gustavo Quiroz, John Boyd, Jeff Harlan, Chris Johnson, Randy Gonzalez, Robert Michael Adler, Christopher M. Campos, Sean Rosales, C.C. Taylor, Donnie Smith, Edilsy Vargas, Austin Hébert, Edwin Garcia, Arnold Chon, Willie Leong, Denney Pierce, George Crayton, Mario Cortez, Roland Feliciano, Charles F. Porter, Sam Upton, Lasaundra Gibson, Tate Birchmore, Nilla Watkins, Mel Fair, Markina Brown, Joy Benedict",Chad St. John
2223,Reality (Réalité),2015,,64%,66%,87 minutes,Drama,NR,,Quentin Dupieux,"Alain Chabat, Jonathan Lambert, Élodie Bouchez, Kyla Kenedy, John Glover, Eric Wareheim, Erik Passoja, Jon Heder, Matt Battaglia, Susan Diol, Patrick Bristow",Quentin Dupieux
2224,Standoff,2016,,56%,43%,86 minutes,"Action & Adventure, Drama",R,,Adam Alleca,"Laurence Fishburne, Thomas Jane, Ella Ballentine, Joanna Douglas, Jim Watson, J.J. DiMichele, John Tench, Tim Atherton, Laura DeCarteret, Darcy Roy, Craig Porritt",Adam Alleca
2225,I Saw the Light,2016,,18%,35%,123 minutes,"Drama, Musical & Performing Arts",R,,Marc Abraham,"Tom Hiddleston, Elizabeth Olsen, Cherry Jones, Bradley Whitford, David Krumholtz, Maddie Hasson, Wrenn Schmidt, Josh Pais, James DuMont, Diane Mozzone, Charlie Talbert, David Maldonado, Cory Hart, Rebecca Chulew, Joe Chrest, Justin Lebrun, Wayne Pére, Candice Harrison, Erica Curtis, Caroline Hebert, Deborah Alcorn, Jillian Batherson, Jeff Caperton, Emily Marie Palmer, Casey Bond, Gary Teague, Christopher Heskey, Mattie Liptak, Jayson Warner Smith, Rob Boltin, Allison Claye, Will Beinbrink, Donna Chamness, Douglas M. Griffin, Gretchen Koerner, Vanessa Amaya, Jeff Pope, NM Garcia, Denise Gossett, Bryan Michael Hall, Joshua Brady, Garrett Kruithof, Christopher Gulas, John Neisler, Candiss Nicole Gandy, Michael D. Anglin, Geraldine Singer, Carter Burch, Lindsey McCollough, Fred Parker Jr., Lisa Ann Smith, Artie Mozzone, Stan Taylor, Jaclyn Bethany, Michael Haskins, Rodney Crowell, Devan Gerlach, Michael P Gardner, Cody Daniel, Elliott Grey, Ransom Ashley, Casey Groves, Richard Jackson, Skyler Davenport, Kelvin Payton, Vincent Stalba, Paulina Manseau, Forest Pruett, Ellie Foco, Vito Viscuso, Bethany Blakey, Elise Fyke, Rick Vyper, Fred Parker Jr., Candice Richardson, Rebecca Gamble, Troy Compas, Jennifer DeLatte, Todd Barnett, Rod Hermansen, Von Lewis, Crystal Cook, Amanda Joy Erickson, Cade Weeks, Lauren Helling, Ashley Gilbert, Sarah Eilts, Emily Lyman, Heather D. Benoit, Ellen Crouch, Javier Andy Zavala Jr., Meredith Brumwell, Jan Duncan Weir, Deadra Moore, John R. Bennett, II, Michael Sieve, Jason Palombo, Nathan Tremaine, Floyd Knight, Mallorie Lindsey",Marc Abraham
2226,Revenger,2019,,40%,48%,101 minutes,"Action & Adventure, Drama",NR,,Lee Seung-won,"Bruce Khan, Park Hee-soon, Yoon Jin-seo, Kim In-kwon, Kim Na-yeon, Park Cheol-min, Jeon Soo-jin, Kim Jae-hyun, Choi Je-heon","Bruce Khan, Ahn Seung-hwan"
2227,Sword Of Vengeance,2015,,13%,19%,87 minutes,Action & Adventure,NR,,Jim Weedon,"Stanley Weber, Annabelle Wallis, Ed Skrein, Dave Legeno, Karel Roden","Julian Unthank, Matthew Read"
